210.088,358.696,2208,2.183026,0.8367682,-0.7377558
121.96,365.608,2231,2.652213,0.8370476,-0.4851824
391,370.6,2292,1.256242,1.160125,-1.893069
121.96,365.32,2357,2.651338,0.8273408,-0.4814348
355,128.2,2360,1.38318,-0.669161,-1.519562
327.4,123.4,2380,1.581804,-0.71771,-1.490659
359.56,407.08,2383,1.422354,1.333363,-1.499286
355,119.8,2385,1.393849,-0.7446769,-1.549495
339.4,114.76,2398,1.486951,-0.770555,-1.486227
334.504,116.776,2399,1.52233,-0.7638435,-1.477715
326.44,114.76,2400,1.577649,-0.7739859,-1.456519
355.24,124.84,2401,1.388085,-0.6944749,-1.538023
363.88,344.872,2402,1.317978,0.8322485,-1.277708
361,314.92,2414,1.658198,0.8393089,-2.575205
355.5857,123.3424,2418,1.41002,-0.7271897,-1.624091
360.424,293.032,2424,1.455536,0.536633,-1.785086
374,313,2442,1.511399,0.8107615,-2.479627
457,364.6,2449,0.8117354,1.295389,-2.672375
341.8,401.8,2451,1.516539,1.274762,-1.385183
392,289,2452,1.229026,0.5271421,-1.89124
464,373,2457,0.7426367,1.380623,-2.704
465,302,2459,0.7207395,0.7231483,-2.588113
202.6,411.4,2462,2.29592,1.200267,-0.8044055
202.6,369.4,2471,2.427505,0.9993057,-1.032138
391,306,2476,1.312874,0.7159508,-2.266252
428,312,2477,1.03284,0.8007483,-2.504724
448,290,2482,0.8912174,0.6680389,-2.958665
428.2,290.2,2484,1.047783,0.6311013,-2.689157
390,291,2491,1.269681,0.5651967,-2.049534
204.04,401.32,2501,2.315966,1.153108,-0.8606403
440,303,2502,0.9509969,0.751773,-2.729471
127,347.8,2503,2.797579,0.7825173,-0.721436
363.4,337,2504,1.604813,1.0257,-2.432622
211.24,358.12,2505,2.20121,0.8432029,-0.7816225
206.92,373.96,2508,2.129056,0.893468,-0.5993282
415,368,2509,1.168843,1.30849,-2.542807
403,308,2513,1.244681,0.7612423,-2.462963
450,345,2519,0.8699676,1.12674,-2.698264
416.2,353.8,2520,1.154043,1.180956,-2.5436
455,361,2526,0.8345997,1.291624,-2.794585
448,310,2527,0.8756263,0.8085113,-2.682734
422,312,2528,1.133023,0.855728,-2.855915
373,290,2533,1.504938,0.6011386,-2.444809
377,295,2534,1.457863,0.6314726,-2.281201
451,295,2535,0.870213,0.6993302,-2.97698
428.2,311.8,2540,1.044608,0.8157406,-2.613185
363.4,391,2543,1.429194,1.271369,-1.665877
203.176,401.896,2552,2.28033,1.132842,-0.791068
424.6,307,2554,1.08769,0.7774913,-2.701769
214.12,401.32,2559,2.116916,1.074329,-0.6489266
448.6,346.6,2560,0.8876464,1.15335,-2.752162
206.632,375.976,2561,2.120645,0.9003568,-0.580907
443.08,369.64,2562,0.9254647,1.309,-2.538838
313.48,401.32,2563,1.719876,1.269096,-1.350654
404,343,2564,1.252047,1.069578,-2.516573
