1140.04,443.08,128
696.52,319.24,196
1047.4,500.2,395
922.6,385,428
672.04,384.04,431
911.8,410.2,436
1081,439,442
751,319,464
749,325,466
656.2,393.4,473
1085.8,435.4,480
688,344,512
726,345,513
729.4,338.2,515
1154.2,471.4,517
933.4,375.4,533
467.5601,170.344,551
603.4,457,558
739,340.6,563
704,329,567
693.4,361,579
904.6,383.8,388
730,343,397
744,334,398
904,383,399
807.2159,359.3182,419
913.96,389.8,430
755.8,311.8,437
1089.64,443.08,439
1079.56,445.96,443
740,319,444
911.08,409.96,445
905.32,384.04,447
755.5601,312.04,448
934.1201,375.4,455
1041.947,417.7937,456
911.1282,387.9836,470
1075,448.6,476
695,321,478
908.2,406.6,479
937.0001,376.6,481
1106.92,424.36,486
775.72,307.72,487
931.6319,374.2481,496
935,376,504
1141,443.8,505
1087.567,440.6033,507
936.1937,376.3217,508
1040.123,420.2323,510
710,322,511
713,326,514
1122.76,456.04,521
695.6561,318.952,523
1147.701,453.0449,524
1137.333,442.6768,527
655.4283,391.6663,528
1153.092,610.6385,529
1087.898,439.9398,531
1102.828,153.2852,535
978.91,389.178,537
1079.272,444.7505,538
1085.908,438.9444,541
1118.953,434.565,542
1133.286,441.7314,543
602.92,457.48,544
1078.941,469.7996,554
741,340,559
686.2,367,565
697,319,569
697,358.6,571
704.2,328.6,575
691,363.4,576
755.7905,446.8241,577
759.4401,445.9117,586
604.1689,457.8557,589
671.055,384.4005,591
742.7186,438.1482,597
602.9745,459.6473,601
731.9691,434.565,604
